batch_size,vram_dn,avg_time_dn,vram,avg_time,vram_15bit,avg_time_15bit
32,2880.6923828125,13.386293000075966,2881.654296875,12.545888195745647,2881.51416015625,12.920769199263304
128,2906.0048828125,23.109867598395795,2908.49072265625,19.375811994541436,2907.0654296875,19.0532646025531
512,3010.2666015625,74.84343639807776,3016.97021484375,63.012402202002704,3012.90185546875,63.70677520753816
2000,3401.1572265625,284.0884656063281,3423.599609375,243.5591339948587,3414.75732421875,239.92707600118592
4000,4090.1884765625,558.9774891966954,3974.212890625,469.10085319541395,3955.998046875,477.45535080321133
8000,5470.1220703125,1097.0754472073168,5067.44189453125,922.338167601265,5034.26220703125,924.8265539994463
16000,8239.9892578125,2170.0717426021583,7268.60986328125,1811.7816608049907,7201.44970703125,1830.310419399757
32000,13767.7275390625,4314.888383599464,11653.5068359375,3600.2167082042433,11520.59130859375,3627.13053439511
