sp_blocks,vram_dn,avg_time_dn,vram,avg_time,vram_15bit,avg_time_15bit
0,11045.9892578125,1773.7989923916757,11045.9892578125,1766.7287830030546,11045.9892578125,1771.154347981792
1,10387.7392578125,1810.8187866047956,10757.076171875,1771.0474816034548,10738.076171875,1777.4675010005012
2,9731.4892578125,1847.754515800625,10279.61572265625,1773.9555481937714,10247.1474609375,1787.2022779774852
3,9075.2392578125,1883.7480947957374,9759.2333984375,1778.4400094067678,9726.54443359375,1792.718608980067
4,8413.9892578125,1921.0453907959163,9226.34375,1781.5843174001202,9184.5283203125,1798.034333041869
5,7757.7392578125,1961.2486586091109,8677.052734375,1784.87876879517,8633.9482421875,1805.3796389722265
6,7101.4892578125,2000.918695202563,8122.2373046875,1787.3631600057706,8073.37646484375,1806.8866520188749
7,6678.42822265625,2034.5431580091827,7556.65380859375,1791.8965740012936,7506.5380859375,1807.0656400523148
8,6928.4892578125,2071.5114972088486,7024.40380859375,1794.3228245945647,6972.2880859375,1810.1717089884914
