sp_blocks,vram_dn,avg_time_dn,vram,avg_time,vram_15bit,avg_time_15bit
0,12345.4892578125,1830.6121159926988,12345.4892578125,1823.8546889973804,12345.4892578125,1825.2870402066037
1,11690.2392578125,1871.5534989954904,12059.576171875,1823.401581204962,12039.576171875,1827.846075198613
2,11033.9892578125,1915.2292279992253,11628.04248046875,1821.817812800873,11595.6630859375,1834.658324404154
3,10377.7392578125,1953.2349030021578,11157.16064453125,1821.648774202913,11114.779296875,1829.448111599777
4,9721.4892578125,2003.0850877985358,10665.87060546875,1820.1848016004078,10616.7626953125,1831.980471208226
5,9065.2392578125,2044.4516298011877,10159.25,1818.8655795995146,10101.4365234375,1836.3249057903886
6,8408.9892578125,2082.0154262008145,9639.82470703125,1817.395885195583,9577.98046875,1831.181235006079
7,7990.92822265625,2130.5628724046983,9112.37548828125,1894.0046906005591,9044.12744140625,1834.8267761990428
8,8240.9892578125,2307.0589568000287,7268.62548828125,1837.3343602055684,7200.37744140625,1831.364098598715
