batch_size,vram_dn,avg_time_dn,vram,avg_time
32,2880.6923828125,13.407222600653768,2884.77880859375,12.593516800552607,2884.77880859375,206.28240279620513
128,2906.0048828125,23.13433800591156,2919.6943359375,18.7745239934884,2919.6943359375,210.15698739793152
512,3010.2666015625,74.76157639175653,3063.81396484375,62.818829994648695,3063.81396484375,265.8915752079338
2000,3399.6572265625,283.62690859939903,3617.3828125,239.82400100212544,3617.3828125,455.785784998443
4000,4089.4384765625,556.6558119957335,4359.5966796875,467.80346219893545,4359.5966796875,705.0024952040985
8000,5470.1220703125,1093.8076194026507,5836.36962890625,915.2351661934517,5836.36962890625,1173.5088738030754
16000,8239.9892578125,2174.7662055888213,8805.48193359375,1819.8325434001163,8805.48193359375,2116.9591326033697
32000,13767.7275390625,4357.699720596429,14728.72265625,3635.0366687984206,14728.72265625,4123.154219402932
batch_size,vram_dn,avg_time_dn,vram,avg_time,vram_15bit,avg_time_15bit
32,2880.6923828125,13.409373990725726,2882.17138671875,12.509700399823487,2882.17138671875,12.889017001725733
batch_size,vram_dn,avg_time_dn,vram,avg_time,vram_15bit,avg_time_15bit
