sp_blocks,vram_dn,avg_time_dn,vram,avg_time
sp_blocks,vram_dn,avg_time_dn,vram,avg_time
16000,7221.4892578125,2521.526161406655,8800.68896484375,1804.9006928107701,8800.68896484375,2045.6541042076424
16000,7221.4892578125,2505.325066205114,8800.68896484375,1828.4901296021417,8800.68896484375,1884.7666542045772
sp_blocks,vram_dn,avg_time_dn,vram,avg_time
16000,11046.9892578125,1766.760374000296,11046.9892578125,1794.319889403414,11046.9892578125,1790.883535204921
16000,10387.7392578125,1801.0112280026078,10758.1630859375,1760.270666796714,10758.1630859375,1902.0981590030715
16000,9731.4892578125,1831.3986063934863,10497.4541015625,1764.0007819980383,10497.4541015625,1770.941331400536
16000,9075.2392578125,1874.739991792012,10175.896484375,1767.9956291918643,10175.896484375,1776.2893208069727
16000,8413.9892578125,1911.306678201072,9999.5693359375,1772.7024917956442,9999.5693359375,1791.8673689942807
16000,7757.7392578125,1949.9712878023274,9616.08154296875,1775.7439969922416,9616.08154296875,1791.1020842031576
16000,7101.4892578125,1988.3317893953063,9221.900390625,1777.2068364080042,9221.900390625,1795.1104964013211
16000,6678.42822265625,2019.8962004040368,8890.2119140625,1780.0462163984776,8890.2119140625,1805.4826049949042
16000,6928.4892578125,2066.2954173982143,8800.68896484375,1787.6253998023458,8800.68896484375,1812.7064250060357
