method,vram,avg_time
method,vram,avg_time
compact,14768.17822265625,2569.2449386503235
compact,14768.17822265625,2578.706588673716
compact,14768.17822265625,2585.5382489971817
compact,14768.17822265625,2570.6161156607172
compact,14768.17822265625,2569.0512579943365
method,vram,avg_time
compact,13237.67822265625,1911.7758873229225
compact,13237.67822265625,1922.2710589917067
compact,13237.67822265625,1914.6083833184093
compact,13237.67822265625,1926.8484306715739
compact,13237.67822265625,1913.7167249961446
method,vram,avg_time
compact,12471.30322265625,1591.1714913284716
compact,12471.30322265625,1593.0761583343458
compact,12471.30322265625,1585.752734002502
compact,12471.30322265625,1585.6344730127603
compact,12471.30322265625,1603.15506067127
