batch_size,vram_base,avg_time_base,vram_dn,avg_time_dn,vram,avg_time,vram_15bit,avg_time_15bit
16000,11046.9892578125,1758.2708680129144,6928.4892578125,2057.0395315007772,8800.68896484375,1782.254136982374,8632.24755859375,1810.3001039999072
16000,11046.9892578125,1774.7578059788793,6928.4892578125,2054.6214304922614,8800.68896484375,1784.7962660016492,8632.24755859375,1807.2531484940555
16000,11046.9892578125,1758.403638494201,6928.4892578125,2071.6223844792694,8800.68896484375,1785.250963497674,8632.24755859375,1810.713766491972
16000,11046.9892578125,1777.3591759905685,6928.4892578125,2058.845369523624,8800.68896484375,1784.9158485187218,8632.24755859375,1808.838080993155
16000,11046.9892578125,1759.4079640111886,6928.4892578125,2080.7985565043055,8800.68896484375,1793.898411502596,8632.24755859375,1822.170733998064
16000,11046.9892578125,7026.38818359375,6975.2568359375,6928.4892578125,1755.6638045061845,1776.9891764910426,1790.5032125127036,2054.5688165002503
16000,11046.9892578125,7025.40380859375,6973.2880859375,6928.4892578125,1779.4225880061276,1779.4340959808324,1792.7918664936442,2054.3215314974077
16000,11046.9892578125,7025.40380859375,6973.2880859375,6928.4892578125,1756.4632744761184,1778.6482950032223,1791.7425344930962,2070.3681974846404
16000,11046.9892578125,7024.40380859375,6974.2724609375,6928.4892578125,1783.3361545053776,1778.5719810053706,1792.7567199803889,2054.046607518103
16000,11046.9892578125,7027.38818359375,6973.2880859375,6928.4892578125,1754.6392864896916,1792.825967509998,1805.6863814999815,2082.84620300401
