method,vram,avg_time
csr,5452.4169921875,244.97047033704197
method,vram,avg_time
csr,3654.54833984375,168.1212683324702
method,vram,avg_time
csr,17310.80712890625,2150.4297819919884
method,vram,avg_time
csr,17043.7802734375,2109.7831320172795
method,vram,avg_time
csr,17310.80712890625,2149.7828110004775
method,vram,avg_time
csr,17043.7802734375,2118.7938989993804
method,vram,avg_time
csr,16520.28857421875,2131.7342739979117
method,vram,avg_time
method,vram,avg_time
csr,20336.40234375,2358.8827530038543
method,vram,avg_time
csr,16520.28857421875,2212.335913674906
method,vram,avg_time
csr,16520.28857421875,2123.2436293309243
method,vram,avg_time
csr,20336.40234375,2373.5265380043224
method,vram,avg_time
method,vram,avg_time
method,vram,avg_time
csr,16521.18017578125,2125.0924563307003
method,vram,avg_time
csr,16521.18017578125,2122.8833676626286
