batch_size,vram_dn,avg_time_dn,vram,avg_time,vram_15bit,avg_time_15bit
32,2879.3798828125,13.098154205363244,2881.11181640625,12.80537819257006,2881.00537109375,13.568392023444176
128,2900.7548828125,22.1983827999793,2905.63916015625,18.48270760383457,2905.294921875,19.716161012183875
512,2988.2666015625,71.65302019566298,3008.13623046875,66.2059155991301,3006.97021484375,65.01704797847196
2000,3319.1259765625,273.03371500456706,3393.26904296875,236.59051719587296,3386.13623046875,245.22102397168055
4000,3766.0009765625,535.3582000010647,3912.94482421875,464.2513172002509,3899.353515625,470.88927699951455
8000,4813.8720703125,1054.4115888071246,4946.369140625,909.3267049989663,4921.7333984375,915.9549180185422
16000,6927.4892578125,2073.5180258052424,7025.38818359375,1793.463949393481,6974.2568359375,1820.2132519800216
32000,11142.7275390625,4117.586485401262,11168.94921875,3560.804621002171,11066.318359375,3592.8068140055984
