batch_size,vram_dn,avg_time_dn,vram,avg_time,vram_15bit,avg_time_15bit
32,2879.3798828125,13.107300805859268,2884.767578125,12.597702199127525,2884.767578125,13.070341025013477
128,2900.7548828125,22.300357010681182,2919.7138671875,18.494327599182725,2919.7138671875,19.457225978840142
512,2988.2666015625,72.2274728002958,3064.21435546875,63.13458379590884,3064.21435546875,65.79739699373022
2000,3319.5009765625,272.2570037934929,3617.52001953125,237.11168799782172,3617.52001953125,256.1357369995676
4000,3766.0009765625,534.9296851898544,4358.251953125,463.3529694052413,4358.251953125,480.4703289992176
8000,4813.8720703125,1049.3067880044691,5833.49072265625,907.6719122007489,5833.49072265625,924.2309199762531
16000,6927.4892578125,2059.7777122049592,8799.68896484375,1812.0425274013542,8799.68896484375,1807.245822972618
32000,11142.7275390625,4094.9421221972443,14717.203125,3539.196982397698,14717.203125,3610.2279030019417
