method,vram,avg_time
csr,16521.18017578125,2139.039129659068
csr,16520.1162109375,2135.1527373384065
csr,16521.1162109375,2135.811695654411
csr,16520.18017578125,2132.1790980097526
csr,16519.18017578125,2138.913690345362
