method,vram,avg_time
compact,9190.05322265625,1564.1826840001158
compact,9190.05322265625,1576.7725633340888
compact,9190.05322265625,1564.7573489889812
compact,9190.05322265625,1564.0460423310287
compact,9190.05322265625,1586.2516003350418
method,vram,avg_time
compact,9955.67822265625,1893.2090616629769
compact,9955.67822265625,1910.081346325266
compact,9955.67822265625,1894.1405006723169
compact,9955.67822265625,1910.7956513374422
compact,9955.67822265625,1894.5747043277759
method,vram,avg_time
compact,11486.92822265625,2555.601399993369
compact,11486.92822265625,2628.98495500364
compact,11486.92822265625,2566.0786793450825
compact,11486.92822265625,2557.855083665345
compact,11486.92822265625,2554.9761450189785
method,vram,avg_time
compact,11486.92822265625,2562.5909393420443
compact,11486.92822265625,2558.8141006689207
compact,11486.92822265625,2569.411591005822
compact,11486.92822265625,2578.168789991954
compact,11486.92822265625,2568.623624004734
